Station,Week,AAS,TLH,CUME,SS,TSL
WYMSFM,2025-02-24,145.9438938,24518.57417,4869,20138,05:02
WYMSFM,2025-03-03,145.5126323,24446.12222,4902,19984,04:59
WYMSFM,2025-03-10,141.575539,23784.69056,5268,19873,04:31
WYMSFM,2025-02-17,141.1937417,23720.54861,4775,19568,04:58
WYMSFM,2025-06-02,140.4281448,23591.92833,4816,19499,04:54
WYMSFM,2025-09-15,140.0866782,23534.56194,4969,20071,04:44
WYMSFM,2025-02-10,139.96833,23514.67944,4891,18961,04:48
WYMSFM,2025-05-05,138.5661789,23279.11806,5127,20398,04:32
WYMSFM,2025-01-27,138.3267626,23238.89611,4969,19895,04:41
WYMSFM,2025-02-03,137.0918915,23031.43778,4724,19684,04:53
WYMSFM,2025-09-08,136.8725579,22994.58972,4724,19567,04:52
WYMSFM,2025-01-13,136.4027183,22915.65667,4560,18802,05:02
WYMSFM,2024-04-29,135.9498479,22839.57444,4655,19721,04:54
WYMSFM,2025-03-17,135.1026025,22697.23722,4754,19679,04:46
WYMSFM,2025-05-12,133.5237054,22431.9825,4827,19797,04:39
WYMSFM,2024-02-26,133.4269378,22415.72556,4674,18452,04:48
WYMSFM,2024-05-13,133.308297,22395.79389,4714,19692,04:45
WYMSFM,2024-02-05,133.1345155,22366.59861,4664,18216,04:48
WYMSFM,2024-11-11,133.0902712,22359.16556,4764,19695,04:42
WYMSFM,2025-01-06,132.6234474,22280.73917,4399,18112,05:04
WYMSFM,2025-04-28,132.1870685,22207.4275,4827,19816,04:36
WYMSFM,2025-01-20,132.0351306,22181.90194,4425,18591,05:01
WYMSFM,2025-04-21,131.9507259,22167.72194,4616,19966,04:48
WYMSFM,2024-01-29,131.551794,22100.70139,4859,18828,04:33
WYMSFM,2024-03-04,131.3813046,22072.05917,4704,19101,04:42
WYMSFM,2024-11-18,131.3686739,22069.93722,4259,19440,05:11
WYMSFM,2025-06-23,131.2015873,22041.86667,4913,19880,04:29
WYMSFM,2025-06-09,131.0879762,22022.78,5283,20415,04:10
WYMSFM,2025-07-14,131.0331432,22013.56806,4607,19444,04:47
WYMSFM,2024-09-23,130.913874,21993.53083,4674,19178,04:42
WYMSFM,2025-09-01,130.2331729,21879.17306,5134,19290,04:16
WYMSFM,2025-08-18,130.149494,21865.115,4859,19088,04:30
WYMSFM,2025-06-16,129.8597321,21816.435,4744,19112,04:36
WYMSFM,2025-05-26,129.7342179,21795.34861,4744,18302,04:36
WYMSFM,2025-07-07,129.6816782,21786.52194,4837,19018,04:30
WYMSFM,2025-08-25,129.5287087,21760.82306,4837,19831,04:30
WYMSFM,2025-04-14,129.3644709,21733.23111,5157,18945,04:13
WYMSFM,2024-03-11,129.2831035,21719.56139,4764,17835,04:34
WYMSFM,2025-05-19,129.2384673,21712.0625,4764,19418,04:33
WYMSFM,2025-07-21,128.6918403,21620.22917,4913,19084,04:24
WYMSFM,2024-09-16,128.2503522,21546.05917,4399,18626,04:54
WYMSFM,2025-08-11,128.2269246,21542.12333,5157,18801,04:11
WYMSFM,2024-02-12,127.9046329,21487.97833,4460,17791,04:49
WYMSFM,2024-05-06,127.7454001,21461.22722,4684,20419,04:35
WYMSFM,2025-08-04,127.7317278,21458.93028,4935,19129,04:21
WYMSFM,2025-07-28,127.6537781,21445.83472,4775,19201,04:29
WYMSFM,2024-06-24,127.564962,21430.91361,4478,17918,04:47
WYMSFM,2025-09-22,127.0957226,21352.08139,4902,20414,04:21
WYMSFM,2024-09-09,126.5144726,21254.43139,4664,18692,04:33
WYMSFM,2024-06-03,126.3773942,21231.40222,4946,18254,04:18
WYMSFM,2024-08-26,126.0681233,21179.44472,4795,17827,04:25
WYMSFM,2024-04-22,125.989881,21166.3,4694,18172,04:31
WYMSFM,2024-04-15,125.9604481,21161.35528,4532,17975,04:40
WYMSFM,2024-01-22,125.8444461,21141.86694,4541,17626,04:39
WYMSFM,2024-11-04,125.7618419,21127.98944,4523,18435,04:40
WYMSFM,2024-05-20,125.709127,21119.13333,4635,19610,04:33
WYMSFM,2025-03-24,125.6451091,21108.37833,4434,18107,04:46
WYMSFM,2024-10-28,125.5008796,21084.14778,4382,17289,04:49
WYMSFM,2024-09-02,125.0576901,21009.69194,4645,17249,04:31
WYMSFM,2024-12-16,124.4115063,20901.13306,4082,17347,05:07
WYMSFM,2024-03-18,124.3080754,20883.75667,4514,17543,04:38
WYMSFM,2024-12-09,123.7073198,20782.82972,4235,16877,04:54
WYMSFM,2024-07-08,123.7050231,20782.44389,4299,17885,04:50
WYMSFM,2024-07-15,122.9546528,20656.38167,4399,17687,04:42
WYMSFM,2024-02-19,122.7220337,20617.30167,4785,17944,04:19
