Station,Week,Device family,AAS,TLH,CUME,SS,TSL
WYMSFM,2025-09-08,Smart Speaker,61.8368254,10388.58667,947,3898,10:58
WYMSFM,2025-03-03,Smart Speaker,60.06388062,10090.73194,977,4005,10:20
WYMSFM,2025-09-15,Smart Speaker,59.36448247,9973.233056,907,3581,11:00
WYMSFM,2025-06-02,Smart Speaker,58.76856978,9873.119722,932,3619,10:36
WYMSFM,2025-02-24,Smart Speaker,58.69733962,9861.153056,955,3943,10:20
WYMSFM,2024-02-05,Smart Speaker,57.54366237,9667.335278,1001,4090,09:39
WYMSFM,2025-03-10,Smart Speaker,57.16580853,9603.855833,987,3856,09:44
WYMSFM,2025-09-01,Smart Speaker,56.83634259,9548.505556,1043,3754,09:09
WYMSFM,2025-02-17,Smart Speaker,56.47089451,9487.110278,929,3669,10:13
WYMSFM,2024-01-29,Smart Speaker,56.39574239,9474.484722,1023,4206,09:16
WYMSFM,2025-04-28,Smart Speaker,56.00035384,9408.059444,892,3701,10:33
WYMSFM,2025-02-10,Smart Speaker,55.79001488,9372.7225,901,3866,10:24
WYMSFM,2025-07-14,Smart Speaker,55.77469742,9370.149167,901,3562,10:24
WYMSFM,2025-05-05,Smart Speaker,55.75263228,9366.442222,931,3734,10:04
WYMSFM,2024-04-29,Smart Speaker,55.60654762,9341.9,951,3802,09:49
WYMSFM,2024-02-26,Smart Speaker,55.32383433,9294.404167,1010,4095,09:12
WYMSFM,2025-05-12,Smart Speaker,55.27368221,9285.978611,936,3638,09:55
WYMSFM,2025-05-19,Smart Speaker,55.2214418,9277.202222,940,3707,09:52
WYMSFM,2025-01-27,Smart Speaker,55.20556217,9274.534444,1053,3980,08:48
WYMSFM,2025-08-18,Smart Speaker,55.01523975,9242.560278,907,3588,10:11
WYMSFM,2025-05-26,Smart Speaker,54.96483796,9234.092778,925,3557,09:59
WYMSFM,2025-06-16,Smart Speaker,54.89250496,9221.940833,884,3488,10:26
WYMSFM,2024-11-18,Smart Speaker,54.84699901,9214.295833,937,4937,09:50
WYMSFM,2024-03-04,Smart Speaker,54.66011739,9182.899722,1001,4033,09:10
WYMSFM,2025-01-13,Smart Speaker,54.33329861,9127.994167,1010,3890,09:02
WYMSFM,2025-08-11,Smart Speaker,54.25674438,9115.133056,925,3386,09:51
WYMSFM,2024-03-11,Smart Speaker,54.12552083,9093.0875,1046,3772,08:42
WYMSFM,2025-07-07,Smart Speaker,54.10476356,9089.600278,974,3575,09:20
WYMSFM,2024-09-16,Smart Speaker,54.06700066,9083.256111,947,3644,09:36
WYMSFM,2025-02-03,Smart Speaker,54.01009921,9073.696667,1046,4055,08:40
WYMSFM,2024-02-12,Smart Speaker,54.00905423,9073.521111,940,3949,09:39
WYMSFM,2025-08-25,Smart Speaker,53.83372354,9044.065556,939,3802,09:38
WYMSFM,2024-10-28,Smart Speaker,53.70957837,9023.209167,992,3476,09:06
WYMSFM,2025-08-04,Smart Speaker,53.70592758,9022.595833,886,3410,10:11
WYMSFM,2025-04-21,Smart Speaker,53.49631118,8987.380278,879,3657,10:13
WYMSFM,2024-09-02,Smart Speaker,53.48157242,8984.904167,966,3511,09:18
WYMSFM,2025-03-17,Smart Speaker,53.43769345,8977.5325,955,3735,09:24
WYMSFM,2024-01-22,Smart Speaker,53.29602679,8953.7325,1069,4119,08:23
WYMSFM,2025-04-14,Smart Speaker,53.21870205,8940.741944,959,3736,09:19
WYMSFM,2024-02-19,Smart Speaker,53.08658234,8918.545833,926,3869,09:38
WYMSFM,2025-06-09,Smart Speaker,52.53191303,8825.361389,1006,3785,08:46
WYMSFM,2025-01-20,Smart Speaker,52.5271627,8824.563333,1003,3947,08:48
WYMSFM,2025-06-23,Smart Speaker,52.51400132,8822.352222,931,3551,09:29
WYMSFM,2024-09-09,Smart Speaker,52.50294808,8820.495278,963,3467,09:10
WYMSFM,2024-04-22,Smart Speaker,52.41897156,8806.387222,980,3769,08:59
WYMSFM,2024-11-11,Smart Speaker,52.29865906,8786.174722,1024,3987,08:35
WYMSFM,2024-05-13,Smart Speaker,52.27369048,8781.98,969,3645,09:04
