Station,Hour of day,Week,AAS,TLH,CUME,SS,TSL
WYMSFM,11,2024-04-29,275.6060317,1929.242222,1512,1523,01:17
WYMSFM,11,2025-03-03,275.5362698,1928.753889,1539,1437,01:15
WYMSFM,11,2025-02-24,273.2810317,1912.967222,1547,1482,01:14
WYMSFM,11,2024-05-13,272.2195238,1905.536667,1518,1455,01:15
WYMSFM,11,2024-02-05,272.2187302,1905.531111,1630,1422,01:10
WYMSFM,10,2025-02-24,272.0161111,1904.112778,1575,1626,01:13
WYMSFM,11,2024-02-26,271.4887302,1900.421111,1586,1431,01:12
WYMSFM,10,2025-03-03,270.6588095,1894.611667,1516,1585,01:15
WYMSFM,11,2025-02-10,269.6766667,1887.736667,1586,1419,01:11
WYMSFM,11,2025-05-05,269.1507937,1884.055556,1547,1499,01:13
WYMSFM,12,2025-03-03,269.0070238,1883.049167,1612,1503,01:10
WYMSFM,11,2025-06-02,268.8394444,1881.876111,1468,1447,01:17
WYMSFM,11,2025-06-09,267.8814286,1875.17,1597,1519,01:10
WYMSFM,11,2025-02-17,267.4472222,1872.130556,1569,1401,01:12
WYMSFM,12,2025-02-24,267.1942857,1870.36,1507,1514,01:14
WYMSFM,11,2025-01-27,266.3452778,1864.416944,1556,1471,01:12
WYMSFM,10,2024-02-05,266.090873,1862.636111,1571,1548,01:11
WYMSFM,10,2025-02-10,265.7873016,1860.511111,1562,1504,01:11
WYMSFM,10,2024-04-29,265.4009921,1857.806944,1493,1676,01:15
WYMSFM,10,2025-06-02,265.2692857,1856.885,1526,1483,01:13
WYMSFM,12,2025-06-02,264.9172619,1854.420833,1507,1375,01:14
WYMSFM,11,2025-03-10,264.6165476,1852.315833,1630,1469,01:08
WYMSFM,11,2024-09-23,264.2526984,1849.768889,1608,1578,01:09
WYMSFM,12,2024-05-13,264.0853175,1848.597222,1524,1356,01:13
WYMSFM,11,2025-04-28,263.2388492,1842.671944,1554,1496,01:11
WYMSFM,10,2025-01-27,263.1344444,1841.941111,1569,1583,01:10
WYMSFM,13,2025-03-03,262.8063095,1839.644167,1524,1235,01:12
WYMSFM,11,2025-09-15,262.3418254,1836.392778,1480,1381,01:14
WYMSFM,10,2025-03-10,262.220754,1835.545278,1621,1738,01:08
WYMSFM,10,2025-05-05,261.5000397,1830.500278,1516,1603,01:12
WYMSFM,13,2025-02-24,261.3547222,1829.483056,1503,1301,01:13
WYMSFM,11,2024-01-29,261.265873,1828.861111,1552,1505,01:11
WYMSFM,10,2025-09-15,261.2323016,1828.626111,1552,1567,01:11
WYMSFM,11,2024-02-12,261.0946429,1827.6625,1505,1327,01:13
WYMSFM,12,2025-02-17,261.005119,1827.035833,1491,1264,01:14
WYMSFM,10,2025-06-09,260.8953571,1826.2675,1591,1740,01:09
WYMSFM,10,2024-02-26,260.8759921,1826.131944,1567,1470,01:10
WYMSFM,11,2025-01-13,260.1429365,1821.000556,1518,1408,01:12
WYMSFM,12,2024-01-29,260.0534127,1820.373889,1588,1536,01:09
WYMSFM,11,2025-02-03,259.9854365,1819.898056,1558,1431,01:10
WYMSFM,11,2024-03-11,259.4326984,1816.028889,1554,1373,01:10
WYMSFM,10,2025-02-17,258.9899603,1812.929722,1606,1666,01:08
